# q=4.941618e-01 chizA=0.000000e+00 chizB=0.000000e+00 f0=2.000000e+01
# M=5.015448e+01 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+02 phi=-4.950961e-01 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
5.468750000e-02 -1.898320566027e-21 -7.254245463711e-22 0.000000000000e+00 0.000000000000e+00
5.493164062e-02 -1.846987428171e-21 -8.334455092901e-22 0.000000000000e+00 0.000000000000e+00
5.517578125e-02 -1.789628065901e-21 -9.374905163786e-22 0.000000000000e+00 0.000000000000e+00
5.541992188e-02 -1.726564862887e-21 -1.037232724867e-21 0.000000000000e+00 0.000000000000e+00
5.566406250e-02 -1.658136714756e-21 -1.132371822626e-21 0.000000000000e+00 0.000000000000e+00
5.590820312e-02 -1.584696246362e-21 -1.222635501459e-21 0.000000000000e+00 0.000000000000e+00
5.615234375e-02 -1.506607650818e-21 -1.307779471818e-21 0.000000000000e+00 0.000000000000e+00
5.639648438e-02 -1.424244901010e-21 -1.387587116443e-21 0.000000000000e+00 0.000000000000e+00
5.664062500e-02 -1.337989665984e-21 -1.461869619747e-21 0.000000000000e+00 0.000000000000e+00
5.688476562e-02 -1.248228807884e-21 -1.530466264308e-21 0.000000000000e+00 0.000000000000e+00
5.712890625e-02 -1.155351796254e-21 -1.593244438578e-21 0.000000000000e+00 0.000000000000e+00
5.737304688e-02 -1.059749503209e-21 -1.650098567478e-21 0.000000000000e+00 0.000000000000e+00
5.761718750e-02 -9.618124803308e-22 -1.700949564578e-21 0.000000000000e+00 0.000000000000e+00
5.786132812e-02 -8.619290948833e-22 -1.745744292974e-21 0.000000000000e+00 0.000000000000e+00
5.810546875e-02 -7.604829450031e-22 -1.784455071728e-21 0.000000000000e+00 0.000000000000e+00
5.834960938e-02 -6.578516970376e-22 -1.817078518937e-21 0.000000000000e+00 0.000000000000e+00
5.859375000e-02 -5.544061618021e-22 -1.843634451672e-21 0.000000000000e+00 0.000000000000e+00
5.883789062e-02 -4.505089510022e-22 -1.864164932949e-21 0.000000000000e+00 0.000000000000e+00
5.908203125e-02 -3.465128491245e-22 -1.878733225305e-21 0.000000000000e+00 0.000000000000e+00
5.932617188e-02 -2.427590298131e-22 -1.887422525671e-21 0.000000000000e+00 0.000000000000e+00
5.957031250e-02 -1.395769184323e-22 -1.890334716672e-21 0.000000000000e+00 0.000000000000e+00
5.981445312e-02 -3.728346497085e-23 -1.887589206654e-21 0.000000000000e+00 0.000000000000e+00
6.005859375e-02 6.381767543096e-23 -1.879321741385e-21 0.000000000000e+00 0.000000000000e+00
6.030273437e-02 1.634373734362e-22 -1.865682951708e-21 0.000000000000e+00 0.000000000000e+00
6.054687500e-02 2.613017072831e-22 -1.846836912716e-21 0.000000000000e+00 0.000000000000e+00
6.079101562e-02 3.571517395661e-22 -1.822960123090e-21 0.000000000000e+00 0.000000000000e+00
6.103515625e-02 4.507438612032e-22 -1.794240322602e-21 0.000000000000e+00 0.000000000000e+00
6.127929687e-02 5.418501213750e-22 -1.760875279268e-21 0.000000000000e+00 0.000000000000e+00
6.152343750e-02 6.302588625203e-22 -1.723071178213e-21 0.000000000000e+00 0.000000000000e+00
6.176757812e-02 7.157747004569e-22 -1.681041392606e-21 0.000000000000e+00 0.000000000000e+00
6.201171875e-02 7.982181154433e-22 -1.635005706288e-21 0.000000000000e+00 0.000000000000e+00
6.225585937e-02 8.774254154277e-22 -1.585189248905e-21 0.000000000000e+00 0.000000000000e+00
6.250000000e-02 9.532486612962e-22 -1.531821428695e-21 0.000000000000e+00 0.000000000000e+00
6.274414062e-02 1.025555714813e-21 -1.475134461775e-21 0.000000000000e+00 0.000000000000e+00
6.298828125e-02 1.094229908895e-21 -1.415362348320e-21 0.000000000000e+00 0.000000000000e+00
6.323242188e-02 1.159169508153e-21 -1.352740389424e-21 0.000000000000e+00 0.000000000000e+00
6.347656250e-02 1.220287391383e-21 -1.287504342609e-21 0.000000000000e+00 0.000000000000e+00
